type,name,notice,furigana
プラスチック類,ウレタン,,う
プラスチック類,植木鉢(プラスチック製),,う
プラスチック類,LD(レーザーディスク),,え
プラスチック類,オアシス(吸水性スポンジ),,お
プラスチック類,緩衝材(プラスチック製),,か
プラスチック類,クッションフロア(プラスチック製) 30cm角,,く
プラスチック類,薬(飲み薬　錠剤)の個別包装ケース,プラマークを確認,く
プラスチック類,CD(コンパクトディスク),,し
プラスチック類,写真のネガ,,し
プラスチック類,食品トレイ,,し
プラスチック類,食用油の容器(プラスチック製),中身を使い切って出す,し
プラスチック類,スポンジ,,す
プラスチック類,DVD、ブルーレイディスク,,て
プラスチック類,トレイ,,と
プラスチック類,発泡スチロール,,は
プラスチック類,ビニール袋,,ひ
プラスチック類,風呂マット,プラスチック製のもので40cm以下はプラスチックで出す。汚れていたら不燃,ふ
プラスチック類,ペットボトルのふた・ラベル,,へ
プラスチック類,弁当容器(コンビニ等),,へ
プラスチック類,まな板(プラスチック製),,ま
プラスチック類,マヨネーズなどの容器,ひとすすぎしてから出す,ま
プラスチック類,目薬の容器,,め
プラスチック類,ラツプ,,ら
プラスチック類,レコード盤,,れ
プラスチック類,レジ袋,,れ
プラスチック類,レトルトパック,ひとすすぎしてから出す,れ
ペットボトル,ペットボトル,PETマークのあるもの　ふたは外してひとすすぎしてから出す,へ
空きびん・缶,空きびん,飲料用・食用品などのびん　キャップやふたは外す,あ
空きびん・缶,空き缶,飲料用・缶詰・菓子・粉ミルク・ペットフードなどの缶　すすいでつぶす,あ
空きびん・缶,菓子の缶,,か
空きびん・缶,食用油の容器(びん・缶),中身を使い切って出す,し
古紙・古着,カーテン類(レース含む),雨の日は出さない　金具は取り除いて下さい,か
古紙・古着,紙パック(内側が白色のもの),飲料用のもの,か
古紙・古着,牛乳パック (内側が白色のもの),,き
古紙・古着,シュレッダー紙 (20リットル以上),20リットル以下は燃やせるごみで,し
古紙・古着,新聞紙 (チラシも可),,し
古紙・古着,書籍,表紙が紙製以外のもの(布、革、フィルムコーティングをしているもの等)は取り外して表紙だけを可燃ゴミで出す,し
古紙・古着,タオル・タオルケット,,た
古紙・古着,電話帳,NTTタウンページセンター(Tel.0120-506-309)へご連絡ください,て
古紙・古着,布類,雨の日は出さない　汚れた布は可燃ゴミへ,ぬ
古紙・古着,古着,汚れや破れが無く、まだ他の人に着てもらえそうなもの,ふ
古紙・古着,窓付き封筒,窓のフィルム部分は可燃ゴミへ,ま
古紙・古着,毛布,雨の日は出さない,も
古紙・古着,レースカーテン,雨の日は出さない　金具は取り除いて,れ
古紙・古着,レシート(感熱紙を除く),感熱紙は燃やせるごみで,れ
燃やせないごみ,アルバム,,あ
燃やせないごみ,アルミホイル,,あ
燃やせないごみ,安全ピン,,あ
燃やせないごみ,植木鉢(素焼き・陶器等),,う
燃やせないごみ,腕時計,,う
燃やせないごみ,ACアダプター,,え
燃やせないごみ,MD(ミニディスク),,え
燃やせないごみ,延長コード,,え
燃やせないごみ,絵の具のチューブ,使い切って出す,え
燃やせないごみ,おもちゃ,,お
燃やせないごみ,カーテンレール(金属製),80cmを超えるものは粗大ゴミへ,か
燃やせないごみ,カーペット,2畳を超えるものは粗大ゴミへ,か
燃やせないごみ,カセットコンロ(卓上コンロ),電池は抜く。40cmを超えるものは粗大ゴミへ,か
燃やせないごみ,カセットテープ,,か
燃やせないごみ,かばん類(金属製・プラスチック製),,か
燃やせないごみ,かみそり,新聞紙等に包み、袋に危険と表示する,か
燃やせないごみ,ガラス製品,,か
燃やせないごみ,加湿器(30cm以下),30cm以上のものは粗大ゴミへ,か
燃やせないごみ,家庭用ゲーム機,,か
燃やせないごみ,果実酒びん(梅酒などを漬けるもの),ふたは、プラスチック製のものはプラスチックで出す。金属製のものは不燃ゴミへ,か
燃やせないごみ,花瓶,,か
燃やせないごみ,傘,5本まではミニ袋(5リットル)1枚、6〜10本まではS袋(10リットル)の指定収集袋を貼って出す,か
燃やせないごみ,キャリーカート,40cmを超えるものは粗大ゴミへ,き
燃やせないごみ,グローランプ,,く
燃やせないごみ,空気入れ(自転車用など),,く
燃やせないごみ,串(金属製),新聞紙等に包み、袋に危険と表示する,く
燃やせないごみ,薬のびん・缶,,く
燃やせないごみ,ゲーム機(家庭用),,け
燃やせないごみ,化粧品のびん,,け
燃やせないごみ,コップ,,こ
燃やせないごみ,工具類,,こ
燃やせないごみ,シャープペンシル,,し
燃やせないごみ,じゅうたん(2畳以下),1畳以下はM袋(20リットル)1枚、1畳を超えて2畳以下はL袋(40リットル)1枚の指定収集袋を貼って出す。2畳を超えるものは粗大ゴミへ,し
燃やせないごみ,照明器具(30cm以下),30cm以上は粗大ゴミ。電球等は外す,し
燃やせないごみ,浄水器カートリッジ,,し
燃やせないごみ,食器類(ガラス、瀬戸物、陶器製),,し
燃やせないごみ,スキー・スノーボード用ブーツ,,す
燃やせないごみ,せともの,,せ
燃やせないごみ,セラミック包丁,新聞紙等に包み、袋に危険と表示する,せ
燃やせないごみ,洗面器,プラスチック製のものはプラスチックで出す,せ
燃やせないごみ,選択物干し,プラスチック製のものはプラスチックで出す,せ
燃やせないごみ,体温計(電子),,た
燃やせないごみ,茶碗(陶器・せともの),,ち
燃やせないごみ,電気毛布,,て
燃やせないごみ,電球,,て
燃やせないごみ,トースター,,と
燃やせないごみ,時計,,と
燃やせないごみ,土鍋,,と
燃やせないごみ,ナイフ,刃の部分は新聞紙等で包み、袋に危険と表示する,な
燃やせないごみ,鍋,,な
燃やせないごみ,ぬいぐるみ(人形),80cmを超えるものは粗大ゴミへ,ぬ
燃やせないごみ,縫い針,新聞紙等に包み品名を表示する,ぬ
燃やせないごみ,バケツ,プラスチック製のものはプラスチックで出す,は
燃やせないごみ,はさみ,新聞紙等に包み品名を表示する,は
燃やせないごみ,パソコン外付け周辺機器,30cmを超えるものは粗大ゴミへ,は
燃やせないごみ,ハンガー,,は
燃やせないごみ,ビデオテープ,,ひ
燃やせないごみ,フライパン,,ふ
燃やせないごみ,プランター,プラスチック製のものはプラスチックで出す,ふ
燃やせないごみ,プリンター(30cm以下),30cmを超えるものは粗大ゴミへ,ふ
燃やせないごみ,フロアーマット　30cm角,2畳分を超えるものは粗大ゴミへ。プラスチック製のものはプラスチックで出す,ふ
燃やせないごみ,フロッピーディスク,,ふ
燃やせないごみ,ベビーゲート,40cmを超えるものは粗大ゴミへ,へ
燃やせないごみ,ヘルメット,,へ
燃やせないごみ,ペンキや油の空きビン・缶,中身を使い切って出す,へ
燃やせないごみ,ほうき(金属・プラスチックの複合製),80cm以内,ほ
燃やせないごみ,ボールペン,,ほ
燃やせないごみ,ポリタンク(灯油用等) 20リットル以下,1個につきS袋(10リットル)の指定収集袋を貼って出す,ほ
燃やせないごみ,包丁,刃の部分は新聞紙等で包み、袋に危険と表示する,ほ
燃やせないごみ,めがね,,め
燃やせないごみ,やかん,,や
燃やせないごみ,ラケット,,ら
燃やせないごみ,旅行用変圧器,旅行用以外(据置型)は収集不可。販売店または専門業者に相談,り
燃やせないごみ,ワープロ,30cmを超えるものは粗大ゴミへ,わ
燃やせるごみ,足ふきマット,,あ
燃やせるごみ,運動靴,,う
燃やせるごみ,おむつ,有料化除外品。汚物は取り除き、透明または半透明の袋に入れて出す,お
燃やせるごみ,落ち葉,有料化除外品。透明または半透明の袋に入れて出す,お
燃やせるごみ,カーボン紙,,か
燃やせるごみ,かっぱ(雨具),,か
燃やせるごみ,かばん類(金属製・プラスチック製以外),,か
